book_names,book_urls,author_name,avg_rating,no_of_ratings,img_src,my_rating,no_of_pages,image_name
"Life’s Too Short (The Friend Zone, #3)",https://www.goodreads.com/book/show/54377375-life-s-too-short,Abby Jimenez,4.15,284203,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1593802541i/54377375._SY75_.jpg,0.0,384.0,cover_1301.png
"The Kill Order (The Maze Runner, #4)",https://www.goodreads.com/book/show/13089710-the-kill-order,James Dashner,3.71,260345,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1330636153i/13089710._SY75_.jpg,0.0,327.0,cover_1302.png
"Daughter of the Pirate King (Daughter of the Pirate King, #1)",https://www.goodreads.com/book/show/33643994-daughter-of-the-pirate-king,Tricia Levenseller,3.93,239594,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483132546i/33643994._SY75_.jpg,0.0,308.0,cover_1303.png
One by One,https://www.goodreads.com/book/show/54197718-one-by-one,Freida McFadden,3.84,442457,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1592705582i/54197718._SY75_.jpg,0.0,295.0,cover_1304.png
Nothing to See Here,https://www.goodreads.com/book/show/42519313-nothing-to-see-here,Kevin Wilson,3.96,227432,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559591792i/42519313._SY75_.jpg,0.0,288.0,cover_1305.png
Steppenwolf,https://www.goodreads.com/book/show/16631.Steppenwolf,Hermann Hesse,4.13,214789,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389332672i/16631._SY75_.jpg,4.0,256.0,cover_1306.png
Mexican Gothic,https://www.goodreads.com/book/show/53152636-mexican-gothic,Silvia Moreno-Garcia,3.66,440776,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1607462569i/53152636._SY75_.jpg,0.0,320.0,cover_1307.png
Five Feet Apart,https://www.goodreads.com/book/show/39939417-five-feet-apart,Rachael Lippincott,4.18,257231,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529358577i/39939417._SY75_.jpg,0.0,288.0,cover_1308.png
"The Ritual (L.O.R.D.S., #1)",https://www.goodreads.com/book/show/58941251-the-ritual,Shantel Tessier,4.05,347716,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1636922541i/58941251._SY75_.jpg,0.0,606.0,cover_1309.png
Einstein: His Life and Universe,https://www.goodreads.com/book/show/10884.Einstein,Walter Isaacson,4.17,202030,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328011405i/10884._SY75_.jpg,0.0,675.0,cover_1310.png
"Midnight Sun (The Twilight Saga, #5)",https://www.goodreads.com/book/show/53287484-midnight-sun,Stephenie Meyer,3.75,316374,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1588597375i/53287484._SY75_.jpg,0.0,662.0,cover_1311.png
Weyward,https://www.goodreads.com/book/show/127280850-weyward,Emilia Hart,4.05,394774,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1684204420i/127280850._SY75_.jpg,0.0,392.0,cover_1312.png
"The Risk (Briar U, #2)",https://www.goodreads.com/book/show/41032121-the-risk,Elle Kennedy,4.21,218834,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553609225i/41032121._SX50_.jpg,0.0,402.0,cover_1313.png
"The Cinnamon Bun Book Store (Dream Harbor, #2)",https://www.goodreads.com/book/show/196241667-the-cinnamon-bun-book-store,Laurie Gilmore,3.69,250396,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1712087472i/196241667._SY75_.jpg,0.0,384.0,cover_1314.png
"Oedipus Rex (The Theban Plays, #1)",https://www.goodreads.com/book/show/1554.Oedipus_Rex,Sophocles,3.73,236979,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388182316i/1554._SY75_.jpg,0.0,75.0,cover_1315.png
Shantaram,https://www.goodreads.com/book/show/33600.Shantaram,Gregory David Roberts,4.28,239054,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333482282i/33600._SY75_.jpg,5.0,936.0,cover_1316.png
"Legendary (Caraval, #2)",https://www.goodreads.com/book/show/36329818-legendary,Stephanie Garber,4.10,453169,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506803153i/36329818._SY75_.jpg,0.0,451.0,cover_1317.png
"Fool Moon (The Dresden Files, #2)",https://www.goodreads.com/book/show/91477.Fool_Moon,Jim Butcher,3.98,207506,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1661018595i/91477._SY75_.jpg,0.0,432.0,cover_1318.png
The Rainmaker,https://www.goodreads.com/book/show/5349.The_Rainmaker,John Grisham,4.02,207596,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388265477i/5349._SY75_.jpg,0.0,419.0,cover_1319.png
The Reappearance of Rachel Price,https://www.goodreads.com/book/show/182484360-the-reappearance-of-rachel-price,Holly Jackson,4.08,213130,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1692547104i/182484360._SY75_.jpg,0.0,438.0,cover_1320.png
Thinner,https://www.goodreads.com/book/show/10605.Thinner,Richard Bachman,3.78,226916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554308961i/10605._SY75_.jpg,0.0,320.0,cover_1321.png
